Resource Utilization
Exploration Point,ALMs,DSP Blocks,LABs
dse1_1,"39,418",112,"4,181"
dse1_2,"39,387",112,"4,188"
dse1_3,"39,366",112,"4,184"
dse1_4,"39,496",112,"4,191"
dse1_5,"39,408",112,"4,186"
dse1_6,"39,403",112,"4,189"
dse1_7,"39,371",112,"4,178"
dse1_8,"39,348",112,"4,174"
dse1_9,"39,452",112,"4,187"
dse1_10,"39,413",112,"4,181"
dse1_base,"39,366",112,"4,184"
